"","Condition","TunedTuned","TunedNonTuned","NonTunedTuned","NonTunedNonTuned","PercentageTunedTuned","PercentageTunedNonTuned","PercentageNonTunedTuned","PercentageNoTunedNonTuned"
"2","PPC_135",1,9,9,118,10,90,7.087,92.913
"3","PPC_135",1,7,15,52,12.5,87.5,22.388,77.612
"4","PPC_135",3,11,13,113,21.429,78.571,10.317,89.683
"5","PPC_135",1,13,7,81,7.143,92.857,7.955,92.045
"6","PPC_135",3,47,15,401,6,94,3.606,96.394
"7","PPC_135",1,10,10,271,9.091,90.909,3.559,96.441
"8","PPC_135",4,27,28,270,12.903,87.097,9.396,90.604
"9","PPC_45",5,7,5,57,41.667,58.333,8.065,91.935
"10","PPC_45",16,20,20,186,44.444,55.556,9.709,90.291
"11","PPC_45",6,17,16,119,26.087,73.913,11.852,88.148
"12","PPC_45",2,7,10,81,22.222,77.778,10.989,89.011
"13","PPC_45",3,27,23,306,10,90,6.991,93.009
"14","PPC_45",5,22,17,224,18.519,81.481,7.054,92.946
"15","PPC_45",12,30,35,340,28.571,71.429,9.333,90.667
"16","PPC_90",0,13,8,144,0,100,5.263,94.737
"17","PPC_90",1,9,15,44,10,90,25.424,74.576
"18","PPC_90",2,9,9,104,18.182,81.818,7.965,92.035
"19","PPC_90",1,10,11,76,9.091,90.909,12.644,87.356
"20","PPC_90",4,38,41,493,9.524,90.476,7.678,92.322
"21","PPC_90",1,19,14,216,5,95,6.087,93.913
"22","PPC_90",9,29,23,290,23.684,76.316,7.348,92.652
"23","V1_135",1,10,11,96,9.091,90.909,10.28,89.72
"24","V1_135",1,8,8,59,11.111,88.889,11.94,88.06
"25","V1_135",4,7,14,47,36.364,63.636,22.951,77.049
"26","V1_135",3,34,19,141,8.108,91.892,11.875,88.125
"27","V1_135",7,50,33,403,12.281,87.719,7.569,92.431
"28","V1_135",4,49,19,300,7.547,92.453,5.956,94.044
"29","V1_135",4,51,21,216,7.273,92.727,8.861,91.139
"30","V1_135",3,5,5,33,37.5,62.5,13.158,86.842
"31","V1_135",1,26,9,89,3.704,96.296,9.184,90.816
"32","V1_135",2,4,2,35,33.333,66.667,5.405,94.595
"33","V1_45",7,28,19,139,20,80,12.025,87.975
"34","V1_45",2,8,9,68,20,80,11.688,88.312
"35","V1_45",15,21,21,53,41.667,58.333,28.378,71.622
"36","V1_45",11,26,15,110,29.73,70.27,12,88
"37","V1_45",7,51,42,292,12.069,87.931,12.575,87.425
"38","V1_45",7,38,41,281,15.556,84.444,12.733,87.267
"39","V1_45",6,16,24,167,27.273,72.727,12.565,87.435
"40","V1_45",4,9,6,36,30.769,69.231,14.286,85.714
"41","V1_45",3,8,9,80,27.273,72.727,10.112,89.888
"42","V1_45",0,13,4,42,0,100,8.696,91.304
"43","V1_90",1,17,14,125,5.556,94.444,10.072,89.928
"44","V1_90",1,9,7,51,10,90,12.069,87.931
"45","V1_90",1,9,5,70,10,90,6.667,93.333
"46","V1_90",13,24,20,141,35.135,64.865,12.422,87.578
"47","V1_90",11,42,36,320,20.755,79.245,10.112,89.888
"48","V1_90",9,38,40,326,19.149,80.851,10.929,89.071
"49","V1_90",10,43,26,218,18.868,81.132,10.656,89.344
"50","V1_90",0,14,6,48,0,100,11.111,88.889
"51","V1_90",5,20,9,78,20,80,10.345,89.655
"52","V1_90",0,7,6,46,0,100,11.538,88.462
